review,rating
"i loved the book couldn't put it down, and in the end it was the sister inlaw who had her own child killed because she couldn't have the man that she wanted all along.",5.0
"I liked this story, but I would title it something else. I get the whole reason behind the title, but James came in so late in the story that I had forgotten that he was somehow apart of it. Still in all, I enjoyed the read.",3.0
"Soulphisticated Ladies Episode 1by Jaha KnightThanks to Jaha Knight for the copy to review today.Soulphisticated Ladies is a book about all the things us women go through. Issues such as men, money, love and power.This book is based on a group of female friends who have different personalities, and trying to make it in this world.The girls are named Selah, Gennifer, Vashti, and Moria.  Selah a strong character, seems to be worried about the competition in her job from the so called Slithers.That would be Cin and her group of employees are known as the Slitherers , reminds me of Harry Potter. She is a sneaky manipulative woman with a team of snakes. They will try anythingto get to success, from stealing ideas of other agency's and Selah was the team Devine. They got things by working hard and working together.Then you have Moria who is married with kids, and by that you know right away she must be stressed with caring for kids and taking care of the household.Also she has in mind of having more kids. However it seems as her husband may be sleeping around. Vashti seems to be a great big snoop and able to catch a guys lies instantly. After her past experience with her ex, she was very well in figuring out a guy who is never telling the truth. Though Gennifer and Vashti tried to bring them more together with all their attempts to keep them together and not to allow Sloan, husband of Moria to fall for someone else. Unfortunately Vashti had some secrets she held in about sleeping with Sloan and didn't want her friends to know about it as well. Though it was before Sloan knew Vashit was friends with Moria at the time.In away to me Gennifer is like the kind trusted person of the group, always helping out. To continue, as the episode goes on, Gennifer and Vashti start digging deeper finding out that Sloan was doing more then paying rent for this girl he was sleeping with, but a bill for each Tuesday get together at the Masquerade Inn.Well that is most of the story and I rather not go and ruin it for all of you, but lets just say it gets juicy, page by page.So these girls do have a lot of baggage and things going on that happens in a typical life of many women. Its tough sometimes to juggle work, men and having time for yourself. This is only part one so, you can tell there is more drama to come. When it ends you will be wanting more! The fight that goes on and so much intense, I felt like I was watching a lifetime movie in a book.",5.0
"Found it to be too drawn out. It was an ok read but glad I didn't ""buy"" it.The ending was a surprise.",3.0
I love it! I'm a huge fan of the Chronicles of Kerrigan and was excited to see her have a collab of her series. I can't wait to start on the second books in each series and for the &#34;half&#34; book to come out! and I LOVE THE COVER!!,5.0
"I devoured this book - the Prologue (see below) pulled me in and I just had to finish the book. The author did a great job of keeping you right on the edge of your seat.Tia is Melissa's daughter, and she was raised by Melissa and Gracie after her father was killed in Afghanistan on the day she was born.  This family was dysfunctional from the start.  Melissa retreated into her own world and Gracie raised Melissa like she was her own child for the first couple of years.  I use the phrase ""like her own chld"" loosely here as I don't know any mother who would put their child through what these two did.  Gracie was the true criminal here while Melissa's crime was just being negligent and keeping her eyes closed to what was going on.After Tia is arrested, she refuses to talk to anyone. A very caring (and clever) Dr. Eaton or  ""psycho-doc"" as she calls him, gets her to trust him and convinces her to start keeping a journal.  She documents her life through her birthdays and what happens each year.  She finally reaches a point though, that she  can't remember what happened, or just refuses to remember what happened.  She lets Dr. Eaton read her journal - I think because it is all too painful for her to say out loud - but she wants someone to know.Between her journal writings and conversations that Melissa has with her also dysfunctional mother Louise, you begin to learn about Tia's life.  At times it is almost too painful to read, but I couldn't put it down.  The tension was just enough to keep me riveted.I really liked how the author resolved the book and brought some lost souls together in the end.",5.0
"Star Rating: 4.5 starsHeat Rating: HOT HOT&#34;..you should take comfort in the fact that this isn't really your decision at all.  Love finds you.  It's not the other way around.  The only choice you really have is whether or not you want to be found.&#34;Pieces of Perfect by Elizabeth Hayley had me from the first chapter!  I had no idea what I was in for reading this book but I was pleasantly surprised how much I LOVED this story!  You know from the blurb that this is going to be a love triangle, which to be honest, isn't my favorite plot lines, and I ate up every bite of this scrumptious book!Pieces of Perfect was HOT (right from the beginning) but it also made you stop and think about what you would do in Lily's shoes.  Sometimes love isn't cut and dry, sometimes you find yourself facing really tough choices and there is no right or wrong answer.  This book really was well done and gave the reader a lot to think about.  Elizabeth Hayley did a great job breathing life into Lily, Max and Adam's stories and I never could bring myself to pick a &#34;team&#34; I fell in love with both of them.My emotions were all over this place with this one, I was mad, happy, frustrated, shocked, heart broken and then satisfied.  Pieces of Perfect is one of the best love triangle books I have read, it handled things realistically and let the reader get inside what Lily was going through without her coming off like a heartless and cold person.Elizabeth Hayley make quite the writing team! I am addicted to this story and I really hope we get more from these three characters in the future (but if we don't I am OK with that too).  Pieces of Perfect is definitely a story that will be sticking with me for days to come.  I HIGHLY recommend this book, it will get you thinking about life, love and airports.  Go 1-click and enjoy this emotional ride with Lily this weekend.",4.0
An old-lady carjacker?  And also a mob lady?  Guess anything is possible with the writer's help.  It was just OK in my book.,3.0
this book was ok but it didn't have the intrigue and suspense .it made me think it was a couple of teenagers trying to act like adults.so I gave it a 2.,2.0
"What a wonderful book! I am a bit of a geek, so I totally love all the references in this story to Dr. Who, Supernatural, Justice League, Avengers...oh, the list goes on and on! I also felt that I was able to relate to Sera. If you've ever felt out of place or like the sore thumb (because you stuck out), this is the book for you. I can't wait to see more from C.M. Kars!",4.0
Great book regarding the Kindle publishing business. I've been meaning to enter this business too but I want to make sure I'm ready and equipped with all the information I need. This book really helped me a lot!,5.0
I really like the book I would have never thought she would be a big leader.  Hipe the next book comes out soon.,5.0
"Excellent ,well written a mater piece of worthy information that will benefit any one regardless of age. This book covers all the areas that is vital , a must read for every one wanting to improve on their skills of great conversation and so much more. Would give it ten stars but as you can see only five is allowed.",5.0
"Were to begin? I think that the only way to explain what I felt with this hook is to be honest. A month ago a friend recommend me ""Fringe"", the tv series, you know that series, right? It's about impossible things turning possible. And one of this crazy but intriguing possibilities are parallel universes.I'm simply in love with this matter, it makes me think, makes me want to understand things that are beyond reality. That's the reason I loved this book. ""Parallel"" was everything I expected and much, much more.There are so many questions I would like to ask the author, Claudia, now that I have read the book but I think I'm just going to wait for the second part, I believe it's going to be as exciting, fun and clever as this book.Don't hesitate, if you have the opportunity just buy it. I mean, I read this book really fast, I couldn't and, to be honest, wouldn't stop turning pages. Is not only the twists but the fact that, even if you are not a fan of science, the plot is not very complicated and the ending... I wish I could tell you more but you need to read it, seriously.",4.0
"Ginger Marcinkowski's stories about buttons that reveal family memories is my first read from this fine author.  I was immediately drawn into the Polk family saga and recalled the ""buttons"" in my own life.  Both of my grandmothers saved buttons in lovely old tins, as well as an elderly next door neighbor lady that I visited often.  How I loved going through those buttons and admiring the sparkly ones mostly, but bright colors and odd shapes piqued my imagination over and over.  I wonder if all my questions about these peculiar items were a nuisance to their collectors.Back to the story at hand, John Polk's family was ordinary, in that their ups and downs, dreams, tragedies, and faith in God were much like other families.  The subtle difference was the loving Christian characterization of John Polk.  I felt like part of the family around the blazing fire listening to John reveal memories through a button picked from an old tin box by one of his two daughters, grandchildren or himself.John's daughters were different from each other in their reactions to John's revelations.  Maureen, the oldest, displayed boredom with indifference.  Carol, the youngest, more like her gentle mother Ellen, was always caught up in the story and grasped the value of God's ultimate message.  Maureen was becoming rebellious in her identity and a worry to her parents.In fact, John had displayed rebellion in his youth that led to a drunken experience ending in tragedy; ultimately realizing the need for God's love and forgiveness in his life.  This story began in Plaster Rock, New Brunswick, Canada 1956 - nostalgic to my own years of being a teen and related easily to the years that followed to 1997 when this story concluded in a poignant intention of carrying on this family tradition.When I began reading this sweet novella, I was unaware that it is a sequel to Ms Marcinkowski's Run, River Currents.  Wishing I had read it before The Button Legacy, I intend to read Ginger Marcinkowski's Run, River Currents soon.  The character of John's granddaughter, Emily, was bittersweet and the favorite of her ""Grampy"" John.  Emily Evans, being the daughter of Maureen, might have followed in her mother's footsteps; however Grampy John was wise in the Lord, and effective in teaching a lesson of trust.Rich and deep in meaning of God's love are Ginger Marcinkowski's words - so compelling in faith and knowledge of God's Word.  The humor is addictive, causing giggles so hard my bed shook.  The button stories gather personal emotions of happiness and tears.  How our lives parallel our neighbors as well as in the generations before us are awesome and amazing to witness God's touch throughout.  Well done, Ms Marcinkowski.  Thank you for writing loud words of joyful noise.I received a free kindle copy of this story from Cross Focused Reviews in exchange for my honest review.",5.0
"First let me say that I am a Maureen Smith fan. And I faithfully stalked her website and FB page religiously. So, what a WONDERFUL surprise it was to see Seducing... was FINALLY available.I was not sure that I was going to like where Ms. Smith would go with Manning and Taylor's story; especially after 20years being apart. But, the way she explained their separate lives in detail helped with them coming together. I especially enjoyed Manning. Whew! He was so sexy and sinful...with His brilliant mind. I enjoyed seeing an author who was able to show an intelligent, strong Black man, who was able to be professional when he needed to be. And, able to turn it off and show his ""street cred"" too when hanging with his boyz and brothers. I also like the fact that Taylor was a smart, professional woman, with an inner freak waiting to come out- with Manning. (No more Tame Taylor!) I loved reading about the sights and sounds of Atlanta and Paris, as well as laughing at the impromptu step show at the bar-be-que. These descriptions showed a true knowledge of what was going on, or either some studying. Some of the conversations took me back to my college days. What great fun! I loved the strong bond and love that Manning and Taylor had for one another. He truly loved her like a goddess.I thoroughly enjoy Ms. Smith's writing because she ALWAYS shows strong men and women of color; along with positive family relationships. Don't get me wrong, there is always drama and secrets. But, there is also love, loyalty, and forgiveness. I always fond of her including the other characters from previous books, and how she incorporates them all together nicely. Great job Ms. Smith!!! I am truly looking forward to the next book with the Wolf Pack. Montana.... Mr. Sexy, sax Jazz player. Yummy!!",5.0
"We should all keep our business tool kit up-to-date and filled with anything that can help give us an edge.  This book does just that- it's filled with lots of information to help you prepare and be ready.  This one is on the money and made for 2013 - if you are even thinking of looking for a new job, you need all the tools you can get.  Great book!",5.0
"I bought this book because I read &#34;Why Her&#34;, &#34;Why Me&#34;, and &#34;Double Dose&#34;! Those books were so good that I'm thinking anything this author writes has to be good. The book started off great. It left off where &#34;Why Her&#34; series stopped but as I was reading other characters appeared that wasn't in the other books. I was so confused that I stopped reading the book. Come to find out those characters were from another series &#34;Salty&#34;. It's ok to put characters in your book from other books u wrote but don't make it confusing to the people that haven't read the series. I really wish I can get my money back cause I feel like I'm being bullied into buying Salty series. In other words &#34;Why Him&#34; is a continuation from the &#34;Salty&#34; series!!! And no I'm not buying the series!!!",1.0
"I love the story, it was amazing.  I loved every word, and the relationship between Kyo and Loki was well crafted, easy to follow, hot, steamy, sexy and awe inspiring.  I liked the fact that the author was not afraid to get creative.",5.0
"Eli Gaither runs the family business of salvaging valuable materials from old houses, polishing them up and selling them for a profit.  He is a divorced man in his 40&#8217;s with three basically grown children and a witch for an ex-wife.  He is also gay, well I think he labels himself as bi.  His youngest son is in high school and recently just shown up at his door.  He was caught with another boy having sex and his mother threw him out.  He had nowhere to go but his dad&#8217;s, whom he has only spoken to a few times since the divorce, which was the boy&#8217;s choice.Just as Eli is trying to deal with his quiet life now being tossed around by the addition of his son, he gets a call saying that Oscar is coming to see him.  Oscar is a young gay man who is comfortable with his sexuality and is an interior designer.  They met one day when Oscar went to Eli&#8217;s store to purchase some items for the company.  Being warned that Eli doesn&#8217;t like weak shy people, Oscar went in with flair.  This led to a night of sex at a hotel, where Eli left early morning and did something he will regret forever.This story takes us on their journey, overcoming the age difference, the miles between their prospective homes, and the overriding need for passion that they have for each other.  Eli is going to have to deal with not having the quiet life of a hermit any more, he is going to have to face the love for Oscar, the roles of being an active father to a son who hated him for the divorce and the ex-wife who would rather save her reputation with the church than deal with the issues at hand.  We learn his secrets from his past life and realize looks aren&#8217;t everything.Oscar is dealing with his boss who he adores being ill, we never find out what is the disease but we know it takes a toll on Oscar.  Also how is he going to convince Eli age is only a number and help him overcome his fears?While I found this book to have some editing problems, I didn&#8217;t feel it was worthy of taking a star away in the ratings.  I just found so many questions unanswered and directions that were not explained that I had a hard time really investing in the story.  The character development was good to a point, but I never felt I was able to really understand their emotions and story.  The discussion of their sex scenes was hot, but I also felt they were raw and lacked real intimacy. It felt more like two animals going at each other than showing us the love we were lead to believe.  I would recommend this book if you were into a quick read with no real investment, then you have a hit.  If you wanted something that would melt your heart and stay with you for a while, I am not sure you will find it here.Reviewed by Tbird for Crystal&#8217;s Many Reviewers*Copy provided for honest review*",3.0
I gave this story a five star review because it's very sexy and I love how you can see the passion between Hunter and vampire.,5.0
This is one of those short reads you can do in a few hours. Even with the short amount of time that we have to know the characters they draw you in. Ceri goes to meet her ex-husband Russell to discuss visitation rights for their daughter...at least that's what she's led to believe. While waiting to go up to his office she runs into to her ex-fiancee who she still has feelings for. Jason and his dad need to discuss his brother Peter with Ceri's ex-husband and things get real interesting once everyone is in place. Russell is using a drug that has been banned and with that drug you now have a new outbreak of zombies. The race for safety is afoot and you just have to read the final outcome.I rated this four out of five only because I would have liked just a little more information on if the others from the elevator made it to safety. A great book to get you in the mood for some Halloween scare.(less),4.0
"An easy read in the classic genre of space warfare, marred by command stupidity and a deus ex-machina rescue. I do not think I will bother with the sequel(s)",3.0
"Beverly Jenkins has done it again! Prisoner of Love had me at ""Chapter One.""Although this is a novella, it is packed to the rim with great characters, great dialogue, and most important a great love story.",5.0
"***I did received this book in exchange for a review.***Greg James has done it again. He's a phenomenal author who guarantees to take you on a journey. I've had the pleasure of reading his Vetala Cycle books under the pen name G.R. Yeates. His words create a poetic atmosphere that captures you and doesn't let go. He brings you in with such vivid imagery that as you read you see the world he creates playing in your mind like a movie.The Sword of Sighs was such a book. From the cover of the book, to the synopsis, to the prologue, he grabbed a hold of me and didn't let go. Nice! The story had a Lord of the Rings feel to it in that the story was a grand and epic adventure. I've read stories before where there's action and adventure but none to the scale of what James created with The Sword of Sighs.I am happy to know that this book is part of a series as I would like to know more about Sarah's life in our world. I would like to know how come she was the one chosen for this quest and why. I would like to know how her story continues in the world of Seythe.I have to say that while this is a young adult fantasy, it certainly is different than any I've read. Some young adult fantasy I've read have the lead female character in love with her male counterpart. This is usually what defines her, not the fact that she has the potential to become something greater. This is certainly not the case with Sarah Bean. We see her grow as a person through out the story and start becoming who she was chosen to be.Do I recommend this book? Heck yeah I do! If you want to dive into a fantastical and epic journey of good vs evil, then this book is for you.",5.0
"This sequel to Wynne Channing's What Kills Me is a beautiful, action-packed follow up that answers previous questions and explores Channing's dark world. This is a paranormal romance with blood, self-discovery, power, and all the right kinds of heartbreak.",5.0
"""Spank"" has an actual story line (which is rare in erotic novels) that is very well written. Filled with humor and yes you guess it....spanking, Alan pens his characters interesting and realistic.  A must read for all erotica fans.This review is based on a complimentary copy which was provided for an honest review.",4.0
This book just kept getting more and more disturbing with every story.  Yikes.  I'm going to be looking over my shoulder and having nightmares for a very long time. Not for the squeamish.,3.0
"Review copyThose were the days.  Heading to the drive in on a Friday night.  If you were lucky, it was with the girl with whom you were hoping to get past second base.  But then, it could be just as much fun with your friends.  Maybe with one or two of you in the trunk to save the admission fee.The Orbit Drive-In off I-45 is the largest Drive-In in Texas with space for four-thousand cars.  With two or more occupants per car, that makes The Orbit bigger than many small Texas towns.The Orbit shows &#34;B-string and basement-budget pictures.  A lot of them made with little more than a Kodak, some spit and a prayer.  And if you've watched enough of this stuff, you develop a taste for it, sort of like learning to like sauerkraut.&#34;Lansdale is a skilled writer who creates real people and then places them in real bad situations.  Even when those situations are themselves like a B-string movie.  And therein lies the charm of The Drive-In.The Drive-In uses a familiar plot device where you take a diverse group of people and place them in a locked environment where there's no way out.  Think Stephen King's Under the Dome.  Although Landale's work pre-dates King's novel by some 20 years  they both deal with the lengths people will go just to survive.Populated with some truly bizarre characters like The Popcorn King and a group of religious cannibals, The Drive-In is all the fun of those tacky B-movies from the golden age of the drive-in.  Roger Corman would be proud.First published in 1988, The Drive-In is now available as an ebook, in a variety of formats, from the folks at Crossroad Press.  Also available are two sequels in the series.If you've never read The Drive-In, I can recommend this one for a fast, fun read.",5.0
"The book, as a whole, was capable of holding your interest. The only thing that I didn't like was the number of characters to keep up with and most had the same first name and confusing last names as property changed hands. I don't like books that has so many  characters to keep up with, especially with constantly changing last names. If not for that I would have rated it higher.",3.0
"This is a wonderful story for young children to have read to them.  The illustrations by Sugar Snail are very capturing, especially the beautiful green eyes of Emma.  Little Emma is introduced to dance.  She embraces it with all her heart and learns how beautiful and free it makes her feel.  Dance is one way where children can express themselves in a very powerful way.  It stimulates children in achieving more and more which helps them believe in themselves and helps build a positive personality.  Author Ally Nathaniel has produced a lovely rhyming dialog which covers all the sensations that Emma experiences in dance. Very good job, Ally!  Highly recommend the many books by this author.",5.0
This is a very well done book. The characters a easy to identify with as are the challenging circumstances they find themselves in. I was always looking forward to get back to the story and find out what was next. Props to the author.,5.0
"What an important book for an important topic in this day and age. This is a book that many could have used years ago. Blending families takes a certain amount of skill and extra effort. The author lays it out completely. It's all on the line. The author breaks it easy and guides us in an easy to understand manner. This book is a must have for anyone involved in a blended family in any way. Children can learn from this book as well as adults can. The author makes some great points and can prepare families for the new lifestyle that they will become part of. As a former family therapist, I recommend this book highly. It can be a saviour for the situations that will arise once this commitment is made.",5.0
This book was awesome I mean I was not disappointed at all I read it I. Two days an that's only bcuz I had to get some sleep... The characters changed and finally grew up in the end. I won't give the story away but if you've read the first two the finale won't disappoint you!!! I can't wait to read more about King!!!!!!!! This book gets 10 stars from me,5.0
"I got this for free recently. Sounded like a neat idea. I sort of expected something along the lines of the parody reviews I run across on Amazon now and then.Turns out I was not so lucky, at least the couple I looked at. No where near as creative or funny as the real ones I have seen so I gave up on the book, and assigned it one star as is my practice with books that I start reading and do not finish.Just did not trip my trigger.",1.0
"I enjoyed this book.  We have a single woman who is a therapist by day, waiting to take the clinicals, and a Burlesque Dancer at night.  People she works with keep showing up dead.  The action is fast paced and was easy read.  Her words were descriptive and I enjoyed it.  The only thing that threw me was being left with a cliffhanger and knowing the next book in the series is not due until 2014.  By then I may have to read it again, lol.",4.0
Works as it should.  not quite sure why other reviewer was complaining that it did not come with a cord as it clearly states it does not and you get one with the Kindle anyway...so get over it.  Great little charger and fast too!,5.0
I liked this book a lot and will recommend it to others in my circle. It was draggy in some spots but the action sections were exciting and I look forward to the next book in the series.,4.0
"4.9 STARSMy Opinion:Riley was hired, by his uncle Frank, as the security guy for Austin and his niece Olivia.Frank and his 'girlfriend' are the bad guys here - we already know that from reading Broken Ever After.They want Riley to get close to Liv so that they can somehow get the codes for all her inherited bank accounts. They think they deserve the money more than her.But when Riley finds out what they're really planning for Olivia it's almost too late.He started falling for her the first time he saw her. This young girl - who was having an affair with her teacher.But said teacher hurt Liv - mostly because Riley helped in causing those situations as part of his uncle's plan. But it was never his intention to hurt Olivia.....Will there be a chance for Riley and Olivia? Or does she still want to be with the teacher-guy??I'm not telling you that of course&#9786;I don't want to spoil your reading pleasure &#9786; and - we don't really find out anything anyway......we all read Broken Ever After - so we know how it all ends - BUT it's not really ending yet - there will be more coming &#9786;__________________________________I ENJOYED THE BOOK A LOTIt was exciting, sexy, funny.......It was soooo short though :(But I was reallllly happy to read Riley's POV - we really needed to see what his motivation was behind this whole thing. It helped to understand him. He didn't appear all that nice in Broken Ever After....but now we love him - but we also loved Jamie in BEA :( so - who do we want Liv to end up with??? Can we have both??? YES PLEASE NATALIE!!! Let's make this a m&eacute;nage-relationship &#9786;Everybody who read & loved Broken Ever After needs to read this novella!!!There were so many questions left unanswered in BEA - and there still are - but this book really helps us to surive the time until we can get our hands on book #2 &#9786;Please hurry up Natalie - I need to know what will happen!!",5.0
"I think there is some great information in this book, but for a money/investing beginner such as myself I found it lacking explanations.  So I'll likely find a dummies book on investing and money to help explain some of the jargon and principles that were over my head.",4.0
"I like the book,  don't really care for &#34;ghost&#34; stories, but it was nicely written and entertaining.",4.0
"(Note: This short story was gifted to me through Amazon by the author, Annie Zhu, in exchange for an honest review. She sweetened the pot by saying she'd enjoyed my review ofGone Girl, which I regard as improbable since less than a handful of people have judged that offering ""useful."" OK, so I'm easily bought. But thank you, Annie, just the same.)""I wanted to go home instead of being out there pretending that I cared. I wished I cared instead of pretending that I did."" - The anonymous protagonist of LOVE SANDWICHES while handing out baloney-on-white to the urban homelessSince the Annie Zhu has a Master of Fine Arts in Creative Writing, I tend to think - though I may be horribly wrong - that LOVE SANDWICHES is perhaps the author's trial literary balloon sent aloft in the fickle winds of the buying masses. A first public tryout of her writing skills, if you will.I have to admit that I didn't see much eyebrow-raising substance in LOVE SANDWICHES, but that may be due to the fact that I'm an almost-64-year old man now out of touch with the mindset of a very much younger woman fictionally created by another (presumably) young woman. Well, perhaps I was never in touch with such.However, I do very much admire the clarity and perceptivity Annie displays when describing characters, situations, feelings, and dialogue. If she could keep it going for a full-length novel with a substantive plot, I'd be disposed to read it.Four stars, then, for the potential in Annie's talent. Five stars is something to which she can and should aspire.",4.0
"I loved Kale, I loved how much the boy needed his woman, &#34;not wanting to stop, I grasped her waist an pushed her back against the couch. &#34;We'll talk after, babe. For the third time, I've missed you, and I can't wait any longer.&#34; I totally agree with Lucy, I'd be totally distracted by a naked Kale as well, &#34;can you please put some damn clothes on? I can't concentrate when you're all sprawled out naked on my couch.&#34; I grinned at her, but I complied by putting on my boxer briefs and jeans before sitting back down on the couch.&#34; I loved how playful Kale was, &#34;excuse me, Ms. Dawson. I believe you own me a punishment, and I'm here to take it like a man,&#34; I tell her, watching as her eyes widen. She swallows hard, and my di** is raging in anticipation of response.&#34; But Lucy can just be as playful, and I really loved that about the couple, &#34;she looks up at me, a playful smile crossing her lips. &#34;Just checking to make sure there wasn't some unforeseen reason why you're so opposed to those Scantrons. But now I see the problem. You don't exactly have the right equipment.&#34; The hell I don't. I grab her other hand and bring it to the outside of my jeans, forcing her to feel all of me with both hands.&#34; Kale that boy is sometimes just to damn much, &#34;do not speak that way around Alfalfa. He's going to need brothers and sisters to torment when he's older. If you junk punch me, you'll jeopardize that, and he'll be mad at you.&#34; She reaches down and pushes my hand aside, replacing it with her own. Her fingers begin to slid up and down the length, and I feel my co** stir to life.&#34; I love these characters, they're ones you can't help but fall in love with and want the best for them.",5.0
WOW! This book made me blush that's for sure! Makes a woman wish she had a vampire lover! Just remember to breathe when you read this book!,4.0
This was a fun read. Great start to a new for me series. This hot little number was well written and held my attention all the way through. I cant wait to read about the rest of the team.,4.0
"Nice story.seems so short,but only because it was so good.Looking forward to reading more of the same romantic sexy stories.",5.0
"I was happy to see the way the series ended and to get a glimpse into the future as to what happened in their lives.  While there wasn't as much action/suspense in this book, it was still enjoyable.  For me, it was Jack who carried the series.  I loved that he was mature, caring, sexy, as well as moral and ethical.  The positive spin he put on events was really appreciated.  It would be great it you could spin off some of the other characters for their own books (Brandon, Jayne, Anthony) so I could still have a connection with Jack.  Thanks for creating such a wonderful character.  Hope there are more to come.",4.0
"I can't help it I love Sue Brown's books. This was a beautifully written story about a man and his dog. I cried when he was forced to say goodbye to his beloved companion since I have been in that situation too. I was overjoyed that Harry picked Ethan for Peter. How could Peter go wrong. Ethan was a bit needy but he was just what Peter needed. Ms Brown also tells a believable story. I just wish it were a little bit longer, that's just me I never want her stories to end.",5.0
"This book started out as interesting but quickly descended to trash.  The hero, I guess, became unlikeable.  I guess the second main character was a woman deserting because of fear of death who was captured and turned into a cyborg.  Kindle is helpful because it tells you how much I read.  I read about 60% of the book which was a waste of time.  At price of .99, I didn't lose much.",1.0
